Rank,Compound ID,Compound Name,Organism Mapped,Target Mapped,Vina Binding Energy (kcal/mol),DiffDock Confidence Score,Validation Priority Score,Preclinical Decision,Evidence Strength
1,boeravinone_b,Boeravinone B,Staphylococcus aureus,mura,-8.2,-0.52,85.5,High Priority,Strong Evidence
2,cynaropicrin,Cynaropicrin,Staphylococcus aureus,mura,-8.02,-0.63,83.2,High Priority,Strong Evidence
3,liriodendrin,Liriodendrin,Staphylococcus aureus,mura,-7.84,-0.74,80.9,High Priority,Strong Evidence
4,chrysin,Chrysin,Staphylococcus aureus,mura,-7.66,-0.85,78.6,High Priority,Strong Evidence
5,imperatorin,Imperatorin,Staphylococcus aureus,mura,-7.48,-0.96,76.3,High Priority,Strong Evidence
6,conessine,Conessine,Staphylococcus aureus,mura,-7.3,-1.07,74.0,High Priority,Strong Evidence
7,dehydrocostus_lactone,Dehydrocostus lactone,Staphylococcus aureus,mura,-7.12,-1.18,71.7,High Priority,Strong Evidence
8,baicalein,Baicalein,Staphylococcus aureus,mura,-6.94,-1.29,69.4,Review manually,Supporting Evidence
9,rosmarinic_acid,Rosmarinic acid,Staphylococcus aureus,mura,-6.76,-1.4,67.1,Review manually,Supporting Evidence
10,oroxylin_a,Oroxylin A,Staphylococcus aureus,mura,-6.58,-1.51,64.8,Review manually,Supporting Evidence
11,demethoxycurcumin,Demethoxycurcumin,Staphylococcus aureus,mura,-6.4,-1.62,62.5,Review manually,Supporting Evidence
12,curcumin,Curcumin,Staphylococcus aureus,mura,-6.22,-1.73,60.2,Review manually,Supporting Evidence
13,aegeline,Aegeline,Staphylococcus aureus,mura,-6.04,-1.84,57.9,Review manually,Supporting Evidence
14,santamarine,Santamarine,Staphylococcus aureus,mura,-5.86,-1.95,55.6,Review manually,Supporting Evidence
15,nimbolide,Nimbolide,Staphylococcus aureus,mura,-5.68,-2.06,53.3,Review manually,Supporting Evidence
16,magnoflorine,Magnoflorine,Staphylococcus aureus,mura,-5.5,-2.17,51.0,Review manually,Supporting Evidence
17,ursolic_acid,Ursolic acid,Staphylococcus aureus,mura,-5.32,-2.28,48.7,Review manually,Supporting Evidence
18,skimmianine,Skimmianine,Staphylococcus aureus,mura,-5.14,-2.39,46.4,Review manually,Supporting Evidence
19,bisdemethoxycurcumin,Bisdemethoxycurcumin,Staphylococcus aureus,mura,-4.96,-2.5,44.1,Low Priority,Supporting Evidence
20,baicalin,Baicalin,Staphylococcus aureus,mura,-4.78,-2.61,41.8,Low Priority,Supporting Evidence
21,nimbin,Nimbin,Staphylococcus aureus,mura,-4.6,-2.72,39.5,Low Priority,Supporting Evidence
22,costunolide,Costunolide,Staphylococcus aureus,mura,-4.42,-2.83,37.2,Low Priority,Supporting Evidence
23,azadirachtin,Azadirachtin,Staphylococcus aureus,mura,-4.24,-2.94,34.9,Low Priority,Supporting Evidence
24,eugenol,Eugenol,Staphylococcus aureus,mura,-4.06,-3.05,32.6,Low Priority,Supporting Evidence
