Rank,Compound ID,Compound Name,Vina Affinity (kcal/mol),DiffDock Confidence,Hydrogen Bonds,Hydrophobic Contacts,Validation Priority Score,Preclinical Decision,Evidence Strength
1,nimbolide,Nimbolide,-7.12,1.85,4,6,82.4,Prioritize for wet-lab validation,High preclinical plausibility
2,liriodendrin,Liriodendrin,-6.84,1.72,3,5,80.3,Prioritize for wet-lab validation,High preclinical plausibility
3,baicalin,Baicalin,-7.05,1.58,4,4,79.8,Consider for wet-lab validation,Moderate preclinical plausibility
4,ursolic_acid,Ursolic acid,-7.23,1.3,3,4,76.0,Consider for wet-lab validation,Moderate preclinical plausibility
5,nimbin,Nimbin,-7.11,1.05,3,3,71.4,Consider for wet-lab validation,Moderate preclinical plausibility
6,boeravinone_b,Boeravinone B,-6.95,1.15,2,5,70.8,Consider for wet-lab validation,Moderate preclinical plausibility
7,costunolide,Costunolide,-5.92,0.85,2,4,62.6,Consider for wet-lab validation,Moderate preclinical plausibility
8,cynaropicrin,Cynaropicrin,-6.04,0.72,2,3,59.9,Review manually,Low preclinical plausibility
9,conessine,Conessine,-6.11,0.6,2,3,59.2,Review manually,Low preclinical plausibility
10,curcumin,Curcumin,-5.84,0.4,2,2,54.5,Review manually,Low preclinical plausibility
11,rosmarinic_acid,Rosmarinic acid,-5.45,0.31,1,3,49.4,Review manually,Low preclinical plausibility
12,oroxylin_a,Oroxylin A,-5.54,0.22,1,2,46.9,Review manually,Low preclinical plausibility
13,baicalein,Baicalein,-5.71,0.15,1,2,46.8,Review manually,Low preclinical plausibility
14,santamarine,Santamarine,-4.62,0.05,1,2,42.3,Review manually,Low preclinical plausibility
15,aegeline,Aegeline,-4.75,-0.05,0,3,38.9,Review manually,Low preclinical plausibility
16,demethoxycurcumin,Demethoxycurcumin,-4.54,-0.12,1,1,38.5,Review manually,Low preclinical plausibility
17,azadirachtin,Azadirachtin,-0.389,-0.55,3,4,37.0,Review manually,Low preclinical plausibility
18,eugenol,Eugenol,-4.92,-0.35,0,2,34.8,Review manually,Low preclinical plausibility
19,bisdemethoxycurcumin,Bisdemethoxycurcumin,-4.32,-0.2,0,2,34.2,Review manually,Low preclinical plausibility
20,magnoflorine,Magnoflorine,-4.01,-0.42,0,1,29.2,Review manually,Low preclinical plausibility
21,chrysin,Chrysin,-0.71,-1.04,2,4,28.8,Review manually,Low preclinical plausibility
22,imperatorin,Imperatorin,-3.95,-0.55,0,1,27.9,Review manually,Low preclinical plausibility
23,skimmianine,Skimmianine,-3.72,-0.62,0,1,26.5,Review manually,Low preclinical plausibility
24,dehydrocostus_lactone,Dehydrocostus lactone,-0.524,-1.48,2,2,20.2,Review manually,Low preclinical plausibility
