Model Name,Category,GitHub Repository URL,Required Inputs,Predicted Outputs / Metrics,Input Format Compatibility,Pipeline Integration Role,Developer / Organization
DiffDock / DiffDock-L,3D Equivariant Docking & Diffusion,https://github.com/gcorso/DiffDock,Protein PDB structure + Ligand SMILES / SDF,"3D Docked Ligand Poses, Confidence Score (pLDDT / RMSD < 2Å likelihood)","PDB, CIF, SMILES, SDF, MOL2",Generates 3D flexible ligand docking poses without rigid grid limits.,MIT / Broad Institute
Boltz-1,Joint Biomolecular Structure Co-Folding,https://github.com/boltz-community/boltz,Protein FASTA sequence / PDB + Ligand SMILES,"Joint 3D protein-ligand complex structure, PAE contact matrix, pLDDT scores","FASTA, PDB, SMILES",De-novo co-folding of target protein and AYUSH ligand complexes.,MIT / Autonomous Research / Boltz Community
Chai-1,Biomolecular Structure & Interaction Prediction,https://github.com/chaidiscovery/chai-lab,Protein Sequence + Ligand SMILES,"Multi-chain 3D complex structure, Contact probability matrix, Interface pLDDT","FASTA, SMILES",High-precision co-crystallization and interface contact prediction.,Chai Discovery
NeuralPLexer,Induced-Fit Conformational & Docking Generator,https://github.com/AustinBiomedical/NeuralPLexer,Protein PDB / Sequence + Ligand SMILES,Induced-fit protein backbone motion + 3D ligand binding trajectory,"PDB, FASTA, SMILES",Models target protein active site flexibility upon ligand binding.,Caltech / Austin Biomedical
GNINA,3D CNN Docking & Affinity Rescorer,https://github.com/gnina/gnina,Protein PDB + Docked Ligand SDF / PDBQT complex,"CNN Affinity Score (pKd / pKi), CNN Pose Score (0.0 - 1.0 probability)","PDB, PDBQT, SDF, MOL2",Primary 3D convolutional rescorer directly on AutoDock Vina poses.,University of Pittsburgh
PIGNet2,Physics-Informed Graph Neural Network,https://github.com/drorlab/pignet,3D Protein-Ligand Complex PDB + SDF,"Physics-informed binding affinity (pKd / pIC50), Steric clash penalty score","PDB, SDF",Filters out unphysical ligand poses and steric atomic overlaps.,KAIST / Dror Lab (Stanford)
GraphBAR,Graph-Based Binding Affinity Register,https://github.com/GraphBAR/GraphBAR,3D Protein-Ligand Complex PDB / SDF,Graph Convolutional Binding Affinity (pKd / pKi),"PDB, SDF",Evaluates 3D spatial adjacency distance graphs of binding pockets.,Kyoto University
EquiBind,SE(3)-Equivariant Rigid Body Docking,https://github.com/HannesStark/EquiBind,Unbound Protein PDB + Unbound Ligand SMILES / SDF,"Fast 3D ligand binding transformation, Keypoint matching score","PDB, SMILES, SDF",Ultra-fast pre-docking screening filter (< 1 sec / pair).,MIT
DeepDTA,Deep Learning Drug-Target Affinity,https://github.com/hkmzkn/DeepDTA,Protein FASTA sequence + Ligand SMILES string,Predicted binding affinity score (pKd),"FASTA text, SMILES string",2D Sequence-based ultra-fast virtual pre-screening prior to 3D docking.,Middle East Technical University
MONN,Multi-Objective Neural Network for DTI,https://github.com/luoyanan/MONN,Protein FASTA sequence + Ligand SMILES,"Non-covalent interaction fingerprint matrix, IC50 value","FASTA, SMILES",Maps pairwise residue-level contact probabilities from sequences.,Tsinghua University
PLIP,Protein-Ligand Interaction Profiler,https://github.com/pharmai/plip,3D Docked Complex PDB,"Hydrogen bonds, Hydrophobic contacts, Salt bridges, pi-Stacking count","PDB, MMCIF",Atomistic non-covalent interaction fingerprint verification.,TU Dresden / PharmAI
