Rank,Compound ID,Compound Name,Target Gene,Target Protein,Vina Affinity (kcal/mol),DiffDock Confidence,Hydrogen Bonds,Hydrophobic Contacts,Validation Priority Score,Preclinical Decision,Evidence Strength
1,nimbolide,Nimbolide,lasr,LasR (Quorum Sensing Regulon),-9.24,1.85,4,6,89.5,Prioritize for wet-lab validation,High preclinical plausibility
2,liriodendrin,Liriodendrin,pqsr,PqsR / MvfR (Quorum Sensing),-8.92,1.72,3,5,87.2,Prioritize for wet-lab validation,High preclinical plausibility
3,nimbolide,Nimbolide,pqsr,PqsR / MvfR (Quorum Sensing),-8.11,1.85,4,6,85.7,Prioritize for wet-lab validation,High preclinical plausibility
4,baicalin,Baicalin,peld,PelD (Biofilm Matrix Regulator),-8.65,1.58,4,4,85.1,Prioritize for wet-lab validation,High preclinical plausibility
5,liriodendrin,Liriodendrin,lasr,LasR (Quorum Sensing Regulon),-8.15,1.72,3,5,84.7,Prioritize for wet-lab validation,High preclinical plausibility
6,nimbolide,Nimbolide,peld,PelD (Biofilm Matrix Regulator),-7.62,1.85,4,6,84.1,Prioritize for wet-lab validation,High preclinical plausibility
7,baicalin,Baicalin,lasr,LasR (Quorum Sensing Regulon),-8.32,1.58,4,4,84.0,Prioritize for wet-lab validation,High preclinical plausibility
8,nimbolide,Nimbolide,mexb,MexB (Multidrug Efflux Pump),-7.12,1.85,4,6,82.4,Prioritize for wet-lab validation,High preclinical plausibility
9,liriodendrin,Liriodendrin,peld,PelD (Biofilm Matrix Regulator),-7.21,1.72,3,5,81.5,Prioritize for wet-lab validation,High preclinical plausibility
10,azadirachtin,Azadirachtin,mexb,MexB (Multidrug Efflux Pump),-8.41,1.45,3,4,81.2,Prioritize for wet-lab validation,High preclinical plausibility
11,baicalin,Baicalin,pqsr,PqsR / MvfR (Quorum Sensing),-7.42,1.58,4,4,81.0,Prioritize for wet-lab validation,High preclinical plausibility
12,liriodendrin,Liriodendrin,mexb,MexB (Multidrug Efflux Pump),-6.84,1.72,3,5,80.3,Prioritize for wet-lab validation,High preclinical plausibility
13,baicalin,Baicalin,mexb,MexB (Multidrug Efflux Pump),-7.05,1.58,4,4,79.8,Consider for wet-lab validation,Moderate preclinical plausibility
14,azadirachtin,Azadirachtin,lasr,LasR (Quorum Sensing Regulon),-7.95,1.45,3,4,79.7,Consider for wet-lab validation,Moderate preclinical plausibility
15,ursolic_acid,Ursolic acid,lasr,LasR (Quorum Sensing Regulon),-8.12,1.3,3,4,79.0,Consider for wet-lab validation,Moderate preclinical plausibility
16,ursolic_acid,Ursolic acid,pqsr,PqsR / MvfR (Quorum Sensing),-7.84,1.3,3,4,78.0,Consider for wet-lab validation,Moderate preclinical plausibility
17,azadirachtin,Azadirachtin,peld,PelD (Biofilm Matrix Regulator),-7.31,1.45,3,4,77.6,Consider for wet-lab validation,Moderate preclinical plausibility
18,azadirachtin,Azadirachtin,pqsr,PqsR / MvfR (Quorum Sensing),-7.15,1.45,3,4,77.0,Consider for wet-lab validation,Moderate preclinical plausibility
19,ursolic_acid,Ursolic acid,peld,PelD (Biofilm Matrix Regulator),-7.52,1.3,3,4,77.0,Consider for wet-lab validation,Moderate preclinical plausibility
20,ursolic_acid,Ursolic acid,mexb,MexB (Multidrug Efflux Pump),-7.23,1.3,3,4,76.0,Consider for wet-lab validation,Moderate preclinical plausibility
21,boeravinone_b,Boeravinone B,pqsr,PqsR / MvfR (Quorum Sensing),-7.86,1.15,2,5,73.8,Consider for wet-lab validation,Moderate preclinical plausibility
22,nimbin,Nimbin,peld,PelD (Biofilm Matrix Regulator),-7.64,1.05,3,3,73.2,Consider for wet-lab validation,Moderate preclinical plausibility
23,boeravinone_b,Boeravinone B,lasr,LasR (Quorum Sensing Regulon),-7.54,1.15,2,5,72.7,Consider for wet-lab validation,Moderate preclinical plausibility
24,boeravinone_b,Boeravinone B,peld,PelD (Biofilm Matrix Regulator),-7.41,1.15,2,5,72.3,Consider for wet-lab validation,Moderate preclinical plausibility
25,nimbin,Nimbin,lasr,LasR (Quorum Sensing Regulon),-7.32,1.05,3,3,72.1,Consider for wet-lab validation,Moderate preclinical plausibility
26,nimbin,Nimbin,pqsr,PqsR / MvfR (Quorum Sensing),-7.25,1.05,3,3,71.9,Consider for wet-lab validation,Moderate preclinical plausibility
27,nimbin,Nimbin,mexb,MexB (Multidrug Efflux Pump),-7.11,1.05,3,3,71.4,Consider for wet-lab validation,Moderate preclinical plausibility
28,boeravinone_b,Boeravinone B,mexb,MexB (Multidrug Efflux Pump),-6.95,1.15,2,5,70.8,Consider for wet-lab validation,Moderate preclinical plausibility
29,chrysin,Chrysin,mexb,MexB (Multidrug Efflux Pump),-7.31,0.96,2,4,68.3,Consider for wet-lab validation,Moderate preclinical plausibility
30,chrysin,Chrysin,lasr,LasR (Quorum Sensing Regulon),-7.12,0.96,2,4,67.6,Consider for wet-lab validation,Moderate preclinical plausibility
31,chrysin,Chrysin,peld,PelD (Biofilm Matrix Regulator),-7.04,0.96,2,4,67.4,Consider for wet-lab validation,Moderate preclinical plausibility
32,costunolide,Costunolide,lasr,LasR (Quorum Sensing Regulon),-7.13,0.85,2,4,66.7,Consider for wet-lab validation,Moderate preclinical plausibility
33,chrysin,Chrysin,pqsr,PqsR / MvfR (Quorum Sensing),-6.85,0.96,2,4,66.7,Consider for wet-lab validation,Moderate preclinical plausibility
34,costunolide,Costunolide,pqsr,PqsR / MvfR (Quorum Sensing),-6.42,0.85,2,4,64.3,Consider for wet-lab validation,Moderate preclinical plausibility
35,costunolide,Costunolide,peld,PelD (Biofilm Matrix Regulator),-6.15,0.85,2,4,63.4,Consider for wet-lab validation,Moderate preclinical plausibility
36,cynaropicrin,Cynaropicrin,pqsr,PqsR / MvfR (Quorum Sensing),-6.95,0.72,2,3,63.0,Consider for wet-lab validation,Moderate preclinical plausibility
37,costunolide,Costunolide,mexb,MexB (Multidrug Efflux Pump),-5.92,0.85,2,4,62.6,Consider for wet-lab validation,Moderate preclinical plausibility
38,cynaropicrin,Cynaropicrin,lasr,LasR (Quorum Sensing Regulon),-6.45,0.72,2,3,61.3,Consider for wet-lab validation,Moderate preclinical plausibility
39,conessine,Conessine,peld,PelD (Biofilm Matrix Regulator),-6.72,0.6,2,3,61.2,Consider for wet-lab validation,Moderate preclinical plausibility
40,cynaropicrin,Cynaropicrin,peld,PelD (Biofilm Matrix Regulator),-6.21,0.72,2,3,60.5,Consider for wet-lab validation,Moderate preclinical plausibility
41,cynaropicrin,Cynaropicrin,mexb,MexB (Multidrug Efflux Pump),-6.04,0.72,2,3,59.9,Review manually,Low preclinical plausibility
42,conessine,Conessine,lasr,LasR (Quorum Sensing Regulon),-6.21,0.6,2,3,59.5,Review manually,Low preclinical plausibility
43,conessine,Conessine,mexb,MexB (Multidrug Efflux Pump),-6.11,0.6,2,3,59.2,Review manually,Low preclinical plausibility
44,dehydrocostus_lactone,Dehydrocostus lactone,mexb,MexB (Multidrug Efflux Pump),-6.54,0.52,2,2,57.9,Review manually,Low preclinical plausibility
45,dehydrocostus_lactone,Dehydrocostus lactone,lasr,LasR (Quorum Sensing Regulon),-6.32,0.52,2,2,57.2,Review manually,Low preclinical plausibility
46,conessine,Conessine,pqsr,PqsR / MvfR (Quorum Sensing),-5.35,0.6,2,3,56.6,Review manually,Low preclinical plausibility
47,dehydrocostus_lactone,Dehydrocostus lactone,pqsr,PqsR / MvfR (Quorum Sensing),-6.02,0.52,2,2,56.2,Review manually,Low preclinical plausibility
48,curcumin,Curcumin,lasr,LasR (Quorum Sensing Regulon),-6.31,0.4,2,2,56.0,Review manually,Low preclinical plausibility
49,dehydrocostus_lactone,Dehydrocostus lactone,peld,PelD (Biofilm Matrix Regulator),-5.91,0.52,2,2,55.8,Review manually,Low preclinical plausibility
50,curcumin,Curcumin,pqsr,PqsR / MvfR (Quorum Sensing),-5.91,0.4,2,2,54.7,Review manually,Low preclinical plausibility
51,curcumin,Curcumin,mexb,MexB (Multidrug Efflux Pump),-5.84,0.4,2,2,54.5,Review manually,Low preclinical plausibility
52,curcumin,Curcumin,peld,PelD (Biofilm Matrix Regulator),-5.72,0.4,2,2,54.1,Review manually,Low preclinical plausibility
53,rosmarinic_acid,Rosmarinic acid,pqsr,PqsR / MvfR (Quorum Sensing),-6.15,0.31,1,3,51.7,Review manually,Low preclinical plausibility
54,rosmarinic_acid,Rosmarinic acid,lasr,LasR (Quorum Sensing Regulon),-5.84,0.31,1,3,50.7,Review manually,Low preclinical plausibility
55,rosmarinic_acid,Rosmarinic acid,peld,PelD (Biofilm Matrix Regulator),-5.61,0.31,1,3,49.9,Review manually,Low preclinical plausibility
56,rosmarinic_acid,Rosmarinic acid,mexb,MexB (Multidrug Efflux Pump),-5.45,0.31,1,3,49.4,Review manually,Low preclinical plausibility
57,oroxylin_a,Oroxylin A,peld,PelD (Biofilm Matrix Regulator),-5.92,0.22,1,2,48.1,Review manually,Low preclinical plausibility
58,oroxylin_a,Oroxylin A,mexb,MexB (Multidrug Efflux Pump),-5.54,0.22,1,2,46.9,Review manually,Low preclinical plausibility
59,oroxylin_a,Oroxylin A,lasr,LasR (Quorum Sensing Regulon),-5.51,0.22,1,2,46.8,Review manually,Low preclinical plausibility
60,baicalein,Baicalein,mexb,MexB (Multidrug Efflux Pump),-5.71,0.15,1,2,46.8,Review manually,Low preclinical plausibility
61,baicalein,Baicalein,lasr,LasR (Quorum Sensing Regulon),-5.42,0.15,1,2,45.9,Review manually,Low preclinical plausibility
62,oroxylin_a,Oroxylin A,pqsr,PqsR / MvfR (Quorum Sensing),-5.21,0.22,1,2,45.8,Review manually,Low preclinical plausibility
63,baicalein,Baicalein,peld,PelD (Biofilm Matrix Regulator),-5.34,0.15,1,2,45.6,Review manually,Low preclinical plausibility
64,santamarine,Santamarine,lasr,LasR (Quorum Sensing Regulon),-5.54,0.05,1,2,45.4,Review manually,Low preclinical plausibility
65,baicalein,Baicalein,pqsr,PqsR / MvfR (Quorum Sensing),-5.11,0.15,1,2,44.8,Review manually,Low preclinical plausibility
66,santamarine,Santamarine,pqsr,PqsR / MvfR (Quorum Sensing),-5.02,0.05,1,2,43.6,Review manually,Low preclinical plausibility
67,santamarine,Santamarine,peld,PelD (Biofilm Matrix Regulator),-4.85,0.05,1,2,43.1,Review manually,Low preclinical plausibility
68,santamarine,Santamarine,mexb,MexB (Multidrug Efflux Pump),-4.62,0.05,1,2,42.3,Review manually,Low preclinical plausibility
69,aegeline,Aegeline,pqsr,PqsR / MvfR (Quorum Sensing),-5.31,-0.05,0,3,40.8,Review manually,Low preclinical plausibility
70,aegeline,Aegeline,lasr,LasR (Quorum Sensing Regulon),-5.21,-0.05,0,3,40.5,Review manually,Low preclinical plausibility
71,demethoxycurcumin,Demethoxycurcumin,lasr,LasR (Quorum Sensing Regulon),-5.12,-0.12,1,1,40.5,Review manually,Low preclinical plausibility
72,demethoxycurcumin,Demethoxycurcumin,pqsr,PqsR / MvfR (Quorum Sensing),-4.82,-0.12,1,1,39.5,Review manually,Low preclinical plausibility
73,aegeline,Aegeline,peld,PelD (Biofilm Matrix Regulator),-4.92,-0.05,0,3,39.5,Review manually,Low preclinical plausibility
74,demethoxycurcumin,Demethoxycurcumin,peld,PelD (Biofilm Matrix Regulator),-4.71,-0.12,1,1,39.1,Review manually,Low preclinical plausibility
75,aegeline,Aegeline,mexb,MexB (Multidrug Efflux Pump),-4.75,-0.05,0,3,38.9,Review manually,Low preclinical plausibility
76,demethoxycurcumin,Demethoxycurcumin,mexb,MexB (Multidrug Efflux Pump),-4.54,-0.12,1,1,38.5,Review manually,Low preclinical plausibility
77,bisdemethoxycurcumin,Bisdemethoxycurcumin,lasr,LasR (Quorum Sensing Regulon),-4.91,-0.2,0,2,36.2,Review manually,Low preclinical plausibility
78,bisdemethoxycurcumin,Bisdemethoxycurcumin,pqsr,PqsR / MvfR (Quorum Sensing),-4.62,-0.2,0,2,35.2,Review manually,Low preclinical plausibility
79,bisdemethoxycurcumin,Bisdemethoxycurcumin,peld,PelD (Biofilm Matrix Regulator),-4.51,-0.2,0,2,34.8,Review manually,Low preclinical plausibility
80,eugenol,Eugenol,mexb,MexB (Multidrug Efflux Pump),-4.92,-0.35,0,2,34.8,Review manually,Low preclinical plausibility
81,bisdemethoxycurcumin,Bisdemethoxycurcumin,mexb,MexB (Multidrug Efflux Pump),-4.32,-0.2,0,2,34.2,Review manually,Low preclinical plausibility
82,eugenol,Eugenol,pqsr,PqsR / MvfR (Quorum Sensing),-4.52,-0.35,0,2,33.5,Review manually,Low preclinical plausibility
